date,session_type,holiday_name,source
2023-01-01,CLOSED,Yeni Yıl Tatili,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-04-20,HALF,Ramazan Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-04-21,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-04-22,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-04-23,CLOSED,Ramazan Bayramı / Ulusal Egemenlik ve Çocuk Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-05-01,CLOSED,Emek ve Dayanışma Günü,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-05-19,CLOSED,Atatürk'ü Anma Gençlik ve Spor Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-06-27,HALF,Kurban Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-06-28,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-06-29,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-06-30,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-07-01,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-07-15,CLOSED,Demokrasi ve Milli Birlik Günü,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-08-30,CLOSED,Zafer Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-10-28,CLOSED,Cumhuriyet Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2023-10-29,CLOSED,Cumhuriyet Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-01-01,CLOSED,Yeni Yıl Tatili,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-04-09,HALF,Ramazan Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-04-10,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-04-11,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-04-12,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-04-23,CLOSED,Ulusal Egemenlik ve Çocuk Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-05-01,CLOSED,Emek ve Dayanışma Günü,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-05-19,CLOSED,Atatürk'ü Anma Gençlik ve Spor Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-06-15,CLOSED,Kurban Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-06-16,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-06-17,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-06-18,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-06-19,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-07-15,CLOSED,Demokrasi ve Milli Birlik Günü,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-08-30,CLOSED,Zafer Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-10-28,HALF,Cumhuriyet Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2024-10-29,CLOSED,Cumhuriyet Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-01-01,CLOSED,Yeni Yıl Tatili,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-03-29,CLOSED,Ramazan Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-03-30,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-03-31,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-04-01,CLOSED,Ramazan Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-04-23,CLOSED,Ulusal Egemenlik ve Çocuk Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-05-01,CLOSED,Emek ve Dayanışma Günü,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-05-19,CLOSED,Atatürk'ü Anma Gençlik ve Spor Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-06-05,HALF,Kurban Bayramı Arefesi,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-06-06,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
2025-06-07,CLOSED,Kurban Bayramı,https://www.borsaistanbul.com/resmi-tatil-gunleri
